Temps	Axial D?lacement	Axial Force	Axial fl?he	Axial CMOD*2	Canon		Axial Force	Axial Force
Sec	mm	N	mm	mm	unitless		N	N
81.513672	-0.2442807	-46.89608	-0.000895336	0.008275211	0		-46.89608	46.89608
82.013672	-0.24692118	-47.4039	-0.000895187	0.008114278	0		-47.4039	47.4039
82.513672	-0.24614334	-46.387779	-0.000881851	0.008276701	0		-46.387779	46.387779
83.013672	-0.2501905	-45.840393	-0.000845864	0.008077323	0		-45.840393	45.840393
83.513672	-0.2507925	-44.924995	-0.000923947	0.008252263	0		-44.924995	44.924995
84.013672	-0.2502948	-46.620689	-0.000869706	0.008107722	0		-46.620689	46.620689
84.513672	-0.25192499	-49.20623	-0.000916123	0.008188188	1		-49.20623	49.20623
85.013672	-0.25522113	-50.721348	-0.000858307	0.008073151	0		-50.721348	50.721348
85.513672	-0.25643408	-49.144806	-0.000854135	0.008311272	0		-49.144806	49.144806
86.013672	-0.25735497	-50.267448	-0.000909492	0.008024275	0		-50.267448	50.267448
86.513672	-0.26049912	-47.572456	-0.00091888	0.008232296	0		-47.572456	47.572456
87.013672	-0.26255846	-50.244732	-0.000926554	0.008098483	0		-50.244732	50.244732
87.513672	-0.26312768	-50.851086	-0.000927821	0.008170903	0		-50.851086	50.851086
88.013672	-0.26455522	-50.116085	-0.000817701	0.008098781	0		-50.116085	50.116085
88.513672	-0.26576817	-51.004559	-0.000868812	0.008262396	0		-51.004559	51.004559
89.013672	-0.2663523	-52.526344	-0.00090532	0.008264482	0		-52.526344	52.526344
89.513672	-0.26870668	-52.411594	-0.00090614	0.008140504	0		-52.411594	52.411594
90.013672	-0.26930571	-54.076931	-0.000905171	0.008128882	0		-54.076931	54.076931
90.513672	-0.27076304	-53.134453	-0.000880435	0.008295178	0		-53.134453	53.134453
91.013672	-0.27293265	-51.744019	-0.000971779	0.008252263	0		-51.744019	51.744019
91.513672	-0.27602315	-52.04216	-0.000909343	0.008274019	0		-52.04216	52.04216
92.013672	-0.27584732	-50.958427	-0.000887737	0.008174181	0		-50.958427	50.958427
92.513672	-0.27748644	-55.105095	-0.000905693	0.008274913	0		-55.105095	55.105095
93.013672	-0.27876198	-52.430611	-0.000903085	0.008178055	0		-52.430611	52.430611
93.513672	-0.27959347	-52.737064	-0.000912398	0.008271039	0		-52.737064	52.737064
94.013672	-0.28184354	-52.831203	-0.000897571	0.008195043	0		-52.831203	52.831203
94.513672	-0.2843678	-53.767155	-0.000851154	0.008224547	0		-53.767155	53.767155
95.013672	-0.28531551	-55.245239	-0.000842735	0.008197427	1		-55.245239	55.245239
95.513672	-0.28711259	-51.623554	-0.000874773	0.008233488	0		-51.623554	51.623554
96.013672	-0.28764009	-52.837029	-0.000878274	0.008247197	0		-52.837029	52.837029
96.513672	-0.28984249	-52.750111	-0.000863001	0.008321405	0		-52.750111	52.750111
97.013672	-0.29143095	-55.295803	-0.000883639	0.008158386	0		-55.295803	55.295803
97.513672	-0.2929002	-55.640049	-0.000834838	0.008274615	0		-55.640049	55.640049
98.013672	-0.29356182	-55.712448	-0.000940114	0.008146763	0		-55.712448	55.712448
98.513672	-0.29514134	-56.118908	-0.000861883	0.008299947	0		-56.118908	56.118908
99.013672	-0.29687881	-58.471565	-0.000943318	0.00828743	0		-58.471565	58.471565
99.513672	-0.29956698	-59.065086	-0.00092946	0.008269548	0		-59.065086	59.065086
100.01367	-0.29930174	-56.543865	-0.00090979	0.008130372	0		-56.543865	56.543865
100.51367	-0.29993951	-59.799618	-0.00093542	0.008401871	0		-59.799618	59.799618
101.01367	-0.30454993	-58.609486	-0.00086762	0.008312762	0		-58.609486	58.609486
101.51367	-0.30428469	-61.544861	-0.000892878	0.008307397	0		-61.544861	61.544861
102.01367	-0.30766129	-61.752972	-0.000948831	0.008164048	0		-61.752972	61.752972
102.51367	-0.3074497	-61.672249	-0.000906363	0.008451641	0		-61.672249	61.672249
103.01367	-0.30816197	-62.768703	-0.000910088	0.008271635	0		-62.768703	62.768703
103.51367	-0.31062067	-67.415024	-0.000880435	0.008276105	0		-67.415024	67.415024
104.01367	-0.31216741	-67.29496	-0.000917241	0.008137822	0		-67.29496	67.29496
104.51367	-0.31374097	-71.28653	-0.000933632	0.008345842	0		-71.28653	71.28653
105.01367	-0.3153801	-71.110359	-0.000975206	0.00819087	0		-71.110359	71.110359
105.51367	-0.31737685	-75.379517	-0.000906512	0.008239746	1		-75.379517	75.379517
106.01367	-0.31814277	-76.442413	-0.000952631	0.008045733	1		-76.442413	76.442413
106.51367	-0.32021403	-80.378448	-0.000972822	0.00815481	0		-80.378448	80.378448
107.01367	-0.31993091	-83.946388	-0.000996515	0.008221269	0		-83.946388	83.946388
